Movie Name,Director,Year,Jump Count,Jump Scare Rating,Netflix (US),URL,IMDB,Summary,Rating,SRT Link
[Rec],"Jaume Balagueró, Paco Plaza",2007,11,3.5,No,https://wheresthejump.com/jump-scares-in-rec-2007/,tt1038988,"Jump Scares: 11 (1 major, 10 minor)",A handful of jump scares throughout. The final 10 minutes are very intense and scary.,https://wheresthejump.com/subtitles/Rec-2007.srt
[Rec] 2,"Paco Plaza, Jaume Balagueró",2009,16,4.5,No,https://wheresthejump.com/jump-scares-in-rec-2-2009/,tt1245112,"Jump Scares: 16 (4 major, 12 minor)","Once the SWAT team enters the apartment, the jump scares are near constant with almost no breaks to catch your breath. Most provide some warning, but a few come out of nowhere and will startle even the most hardened of horror fans. Those who are easily scared by jump scares should steer clear.",https://wheresthejump.com/subtitles/Rec-2-2009.srt
[REC] 3: Genesis,Paco Plaza,2012,14,2.5,No,https://wheresthejump.com/jump-scares-in-rec-3-genesis-2012/,tt1649444,"Jump Scares: 14 (1 major, 13 minor)","Like the two films before it, [REC] 3: Genesis has frequent jump scares once the action starts. However, due to this film’s more comedic tone, the jump scares are far less impactful and most are minor or easily seen coming. Fans of the franchise, and even general audiences, shouldn’t have too much trouble with Genesis unless they’re easily startled.",https://wheresthejump.com/subtitles/REC-3-Genesis-2012.srt
[REC] 4: Apocalypse,Jaume Balagueró,2015,7,1.5,No,https://wheresthejump.com/jump-scares-in-rec-4-apocalypse-2015/,tt1649443,Jump Scares: 7 (7 minor),"Apocalypse is far less scary and intense then the first two films, containing the least amount of jump scares in the [REC] franchise. The ones that do appear are not very startling and some barely qualify as jump scares.",https://wheresthejump.com/subtitles/REC-4-Apocalypse-2015.srt
10 Cloverfield Lane,Dan Trachtenberg,2016,8,2.5,No,https://wheresthejump.com/jump-scares-in-10-cloverfield-lane-2016/,tt1179933,"Jump Scares: 8 (1 major, 7 minor)","More of a mystery/suspense film than outright horror, 10 Cloverfield Lane contains a moderate number of jump scares that are enhanced by the constant tension throughout the film.",https://wheresthejump.com/subtitles/10-Cloverfield-Lane-2016.srt
12 Hour Shift,Brea Grant,2020,1,1.0,No,https://wheresthejump.com/jump-scares-in-12-hour-shift-2020/,tt10309552,Jump Scares: 1 (1 minor),"Only one minor jump scare, more of a dark comedy and heist movie than a horror movie.",https://wheresthejump.com/subtitles/12-Hour-Shift-2020.srt
1408,Mikael Håfström,2007,8,3.0,No,https://wheresthejump.com/jump-scares-in-1408-2007/,tt0450385,"Jump Scares: 8 (2 major, 6 minor)",A handful of relatively minor jump scares throughout the movie however one of the final scenes does contain a significant jump scare.,https://wheresthejump.com/subtitles/1408-2007.srt
1917,Sam Mendes,2019,10,2.5,No,https://wheresthejump.com/jump-scares-in-1917-2019/,tt8579674,Jump Scares: 10 (10 minor),"Though 1917 is not a horror movie, it is packed with suspense, making the otherwise minor jump scares that much more powerful.",https://wheresthejump.com/subtitles/1917-2019.srt
1922,Zak Hilditch,2017,2,1.0,Yes,https://wheresthejump.com/jump-scares-in-1922-2017/,tt6214928,Jump Scares: 2 (2 minor),"More character driven than plot driven, 1922 is a slow-burner that doesn’t have many traditional jump scares although there are several disturbing scenes.",https://wheresthejump.com/subtitles/1922-2017.srt
1974: The Possession of Altair,Victor Dryere,2016,8,2.5,No,https://wheresthejump.com/jump-scares-in-1974-the-possession-of-altair-2016/,tt2516966,"Jump Scares: 8 (1 major, 7 minor)","Some jump scares throughout, most of them not being scary enough to be major but enough to be noteworthy.",https://wheresthejump.com/subtitles/1974-The-Possession-of-Altair-2016.srt
1BR,David Marmor,2019,3,0.5,No,https://wheresthejump.com/jump-scares-in-1br-2019/,tt7541106,Jump Scares: 3 (3 minor),"Much more of a thriller than a horror movie, with only three scenes that barely even qualify as minor jump scares. However, epileptic viewers should watch out for a scene with flashing lights at 36:50 – 37:40.",https://wheresthejump.com/subtitles/1BR-2019.srt
28 Days Later,Danny Boyle,2002,10,3.0,No,https://wheresthejump.com/jump-scares-in-28-days-later-2002/,tt0289043,Jump Scares: 10 (10 minor),"Several minor jump scares, usually involving the appearance of the infected, however most of these give a second or so of warning before they occur.",https://wheresthejump.com/subtitles/28-Days-Later-2002.srt
28 Weeks Later,Juan Carlos Fresnadillo,2007,17,3.5,No,https://wheresthejump.com/jump-scares-in-28-weeks-later-2007/,tt0463854,"Jump Scares: 17 (1 major, 16 minor)","Slightly “jumpier” than 28 Days Later, one scene in particular, occurring at about the 47 minute mark, is quite intense and will scare many.",https://wheresthejump.com/subtitles/28-Weeks-Later-2007.srt
30 Days of Night,David Slade,2007,9,2.5,No,https://wheresthejump.com/jump-scares-in-30-days-of-night-2007/,tt0389722,Jump Scares: 9 (9 minor),"Several minor jump scares throughout, most occur between the 15 and 30 minute mark or near the end of the film.",https://wheresthejump.com/subtitles/30-Days-of-Night-2007.srt
30 Miles from Nowhere,Caitlin Koller,2018,5,1.5,No,https://wheresthejump.com/jump-scares-in-30-miles-from-nowhere-2018/,tt7316576,"Jump Scares: 5 (1 major, 4 minor)","Not a movie that focuses on horror as much as it focuses on the comedy and thriller aspects, with only one significant jump scare to watch out for. There are also a few sudden sounds, but not loud or frightening enough to even be considered minor jump scares.",https://wheresthejump.com/subtitles/30-Miles-from-Nowhere-2018.srt
31,Rob Zombie,2016,8,2.5,No,https://wheresthejump.com/jump-scares-in-31-2016/,tt3835080,Jump Scares: 8 (8 minor),The majority of the jump scares occur in a 7 minute window between the 35 and 42 minute marks. Many of the scares are accompanied by a loud sound effect in an attempt to enhance their effectiveness.,https://wheresthejump.com/subtitles/31-2016.srt
47 Meters Down,Johannes Roberts,2017,11,3.0,Yes,https://wheresthejump.com/jump-scares-in-47-meters-down-2017/,tt2932536,"Jump Scares: 11 (3 major, 8 minor)",The sharks sudden appearances are responsible for the bulk of the jump scares. For the first few shark encounters we get a small amount of warning as we see the shark approach from a distance however the attacks at 48:53 and 52:43 occur with no warning and are quite startling.,https://wheresthejump.com/subtitles/47-Meters-Down-2017.srt
47 Meters Down: Uncaged,Johannes Roberts,2019,13,3.5,No,https://wheresthejump.com/jump-scares-in-47-meters-down-uncaged-2019/,tt7329656,"Jump Scares: 13 (4 major, 9 minor)","In 47 Meters Down: Uncaged there are numerous jump scares in which sharks suddenly appear. After the movie holds back almost 30 minutes there are several pop-up scares. In fact, three of them are set surprisingly efficiently.",https://wheresthejump.com/subtitles/47-Meters-Down-Uncaged-2019.srt
8213: Gacy House,Anthony Fankhauser,2010,2,0.5,No,https://wheresthejump.com/jump-scares-in-8213-gacy-house-2010/,tt1667418,Jump Scares: 2 (2 minor),"Made by the studio The Asylum, famously known for making terrible, extremely low budget movies. As such, it’s highly unlikely anyone will themselves be scared by the movie, nor the two minor jump scares.",https://wheresthejump.com/subtitles/8213-Gacy-House-2010.srt
A Cure for Wellness,Gore Verbinski,2016,6,1.5,No,https://wheresthejump.com/jump-scares-in-a-cure-for-wellness-2016/,tt4731136,Jump Scares: 6 (6 minor),Verbinski favors disturbing imagery over straight jump scares although there are a few minor scares scattered through the movie.,https://wheresthejump.com/subtitles/A-Cure-for-Wellness-2016.srt
A Dark Song,Liam Gavin,2016,5,2.0,No,https://wheresthejump.com/jump-scares-in-a-dark-song-2016/,tt4805316,"Jump Scares: 5 (1 major, 4 minor)","When supernatural horror and suspense meets a determined mother, out for revenge, not only is the importance of forgiveness revealed, but the subtlety of the perfectly placed jump scares will keep unsuspecting viewers on the edge of their seats throughout the entire film.",A Dark Song.srt
A Ghost Story,David Lowery,2017,3,1.0,No,https://wheresthejump.com/jump-scares-in-a-ghost-story-2017/,tt6265828,"Jump Scares: 3 (1 major, 2 minor)","Despite its spooky sounding name, A Ghost Story is not a horror movie. There are a few bangs and bumps throughout however only a couple of moments that really qualify as jump scares.",https://wheresthejump.com/subtitles/A-Ghost-Story-2017.srt
A Girl Walks Home Alone at Night,Ana Lily Amirpour,2014,0,0.0,No,https://wheresthejump.com/jump-scares-in-a-girl-walks-home-alone-at-night-2014/,tt2326554,Jump Scares: 0,No real jump scares but many scenes involve a lot of tension.,
A Nightmare on Elm Street,Samuel Bayer,2010,15,3.0,No,https://wheresthejump.com/jump-scares-in-a-nightmare-on-elm-street-2010/,tt1179056,Jump Scares: 15 (15 minor),A relatively large number of jump scares however none are particularly memorable. Most of the film’s scary parts occur during dream sequences.,https://wheresthejump.com/subtitles/A-Nightmare-on-Elm-Street-2010.srt
A Nightmare on Elm Street,Wes Craven,1984,11,2.5,No,https://wheresthejump.com/jump-scares-in-a-nightmare-on-elm-street-1984/,tt0087800,"Jump Scares: 11 (2 major, 9 minor)",Most of the scares in this movie are relatively low-key however the final 10 minutes do contain a couple of effective scares.,https://wheresthejump.com/subtitles/A-Nightmare-on-Elm-Street-1984.srt
A Nightmare on Elm Street 2: Freddy’s Revenge,Jack Sholder,1985,8,2.0,No,https://wheresthejump.com/jump-scares-in-a-nightmare-on-elm-street-ii-freddys-revenge-1985/,tt0089686,Jump Scares: 8 (8 minor),All 8 of the jumps appear with little to no tension beforehand making them only somewhat startling.,https://wheresthejump.com/subtitles/A-Nightmare-on-Elm-Street-2-Freddy8217s-Revenge-1985.srt
A Nightmare on Elm Street 3: Dream Warriors,Chuck Russell,1987,11,2.5,No,https://wheresthejump.com/jump-scares-in-a-nightmare-on-elm-street-iii-dream-warriors-1987/,tt0093629,Jump Scares: 11 (11 minor),The film features a sizeable amount of jump scares that mostly occur within the dream sequences and involve the sudden appearance of Freddy Krueger.,https://wheresthejump.com/subtitles/A-Nightmare-on-Elm-Street-3-Dream-Warriors-1987.srt
A Nightmare on Elm Street 4: The Dream Master,Renny Harlin,1988,6,1.5,No,https://wheresthejump.com/jump-scares-in-a-nightmare-on-elm-street-4-the-dream-master-1988/,tt0095742,Jump Scares: 6 (6 minor),"Less jumpy than its predecessors with only a handful of minor jump scares, mostly predictable and uneffective ones.",https://wheresthejump.com/subtitles/A-Nightmare-on-Elm-Street-4-The-Dream-Master-1988.srt
A Nightmare on Elm Street 5: The Dream Child,Stephen Hopkins,1989,10,2.5,No,https://wheresthejump.com/jump-scares-in-a-nightmare-on-elm-street-5-the-dream-child-1989/,tt0097981,"Jump Scares: 10 (1 major, 9 minor)","Mostly predictable minor jump scares, with the most noteworthy one major jump scare being cheap and silly, but unexpected and loud.",https://wheresthejump.com/subtitles/A-Nightmare-on-Elm-Street-5-The-Dream-Child-1989.srt
A Quiet Place,John Krasinski,2018,14,4.0,No,https://wheresthejump.com/jump-scares-in-a-quiet-place-2018/,tt6644200,"Jump Scares: 14 (4 major, 10 minor)",A Quiet Place makes good use of the quiet/loud dynamic to deliver some effective scares. A sequence early on in the movie that begins with a monopoly game contains 4 jump scares in a short space of time and is probably the scariest part of the movie.,https://wheresthejump.com/subtitles/A-Quiet-Place-2018.srt
A Quiet Place Part II,John Krasinski,2020,18,4.0,No,https://wheresthejump.com/jump-scares-in-a-quiet-place-part-ii-2020/,tt8332922,"Jump Scares: 18 (7 major, 11 minor)","Part II is a bigger, scarier, taller rollercoaster packed with jump scares. Lots of creepy monster moments, and a few surprises that makes this a hold on tight to the edge of your seat horror lover extravaganza!",A Quiet Place Part II.srt
A Tale of Two Sisters,Jee-woon Kim,2003,14,3.0,No,https://wheresthejump.com/jump-scares-in-a-tale-of-two-sisters-2003/,tt0365376,"Jump Scares: 14 (1 major, 13 minor)",Several legitimately terrifying scenes – one occurs at the 35 minute mark and another just after the hour mark. The final ten minutes are also quite intense. In between these parts the movie is largely free of jump scares.,https://wheresthejump.com/subtitles/A-Tale-of-Two-Sisters-2003.srt
Abrakadabra,"Luciano Onetti, Nicolás Onetti",2018,0,0.0,No,https://wheresthejump.com/jump-scares-in-abrakadabra-2018/,tt8422146,Jump Scares: 0,A modern giallo movie that features some gore but nothing that would be considered particularly scary by traditional standarts.,
Absentia,Mike Flanagan,2011,8,2.0,No,https://wheresthejump.com/jump-scares-in-absentia-2011/,tt1610996,Jump Scares: 8 (8 minor),"Minor scares only, mainly in the first half of the movie.",https://wheresthejump.com/subtitles/Absentia-2011.srt
After Midnight,"Jeremy Gardner, Christian Stella",2019,6,2.5,No,https://wheresthejump.com/jump-scares-in-after-midnight-2019/,tt8358220,"Jump Scares: 6 (1 major, 5 minor)","One jump scare near the end that has, reasonably, been praised for being very frightening, but not many jump scares otherwise.",https://wheresthejump.com/subtitles/After-Midnight-2019.srt
Aftermath,Peter Winther,2021,5,2.5,Yes,https://wheresthejump.com/jump-scares-in-aftermath-2021/,tt10691162,Jump Scares: 5 (5 minor),"A few good tension builders but no major jump scares. The jump scares that are in the movie, are quite affective.",https://wheresthejump.com/subtitles/Aftermath-2021.srt
